Section 1 - Prélèvements et analyses
Prélèvement pour analyse microbiologique;N101;2,55;15,61
Prélèvement et examen qualitatif des urines mi-jet par bandelette, avec enregistrement des résultats;N102;2,55;15,61
Prélèvement de selles pour analyses;N103;2,55;15,61
Prélèvement de sang capillaire pour analyse autre que la glycémie;N104;1,30;7,96
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre;N105;1,55;9,49
Prélèvement de sang veineux pour analyse effectuée au domicile de la personne protégée, en cas de nécessité médicale d'effectuer le prélèvement au domicile certifiée sur l'ordonnance du médecin prescripteur;N106;2,56;15,68
Bilan hydrique des entrées et sorties;N107;3,82;23,39
Section 2 - Injections, perfusions, prises de sang
Injection par dispositif implanté;N201;3,0718,80
Perfusion par dispositif implanté;N202;5,50;33,68
Injection intraveineuse par ponction;N203;3,86;23,64
Injection intraveineuse sur cathéter en place;N204;2,55;15,61
Mise en place d'une perfusion intraveineuse ou sous-cutanée (hypodermoclyse) par gravité ou par pompe;N205;5,27;32,27
Enlèvement d'une perfusion intraveineuse ou sous-cutanée;N206;1,29;7,90
Changement du flacon d'une perfusion;N207;2,55;15,61
Contrôle d'une perfusion de longue durée par pompe, forfait par jour;N208;3,82;23,39
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre et injection sous-cutanée;N209;2,80;17,15
Injection sous-cutanée;N210;1,27;7,78
Injection intramusculaire ou intradermique;N211;1,82;11,14
Application de collyre ou de pommade ophtalmique à domicile, forfait par jour, en phase préopératoire en vue d'une intervention relevant du domaine de la spécialité ophtalmologique et/ou en phase postopératoire pour une durée maximale de 15 jours pour une personne incapable de réaliser le geste de façon autonome;N212;2,55;15,61
Section 3 - Pansements
Ablation de fils de suture ou d'agrafes ou redon, nettoyage et pansement avec soins de plaie simple;N301;3,94;24,13
Pansement pour plaies simples;N302;2,67;16,35
Pansement d'un doigt, d'un orteil, d'une main, d'un pied, avec bain médicamenteux préalable;N303;5,22;31,96
Pansement pour plaies avec dispositifs;N304;5,23;32,03
Pansement pour plaies multiples;N305;5,27;32,27
Détersion, débridement mécanique et pansement d'une plaie nécrotique, d'une lésion ulcérée ou d'une brûlure étendue;N306;7,81;47,82
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë d'un membre;N307;1,27;7,78
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë de deux membres;N308;2,55;15,61
Bain entier médicamenteux pour affection cutanée étendue;N309;5,09;31,17
Section 4 - Actes concernant l'appareil urinaire
Cathétérisme vésical, mise en place ou changement d'une sonde à demeure;N401;4,67;28,60
Cathétérisme vésical avec lavage de la vessie ou irrigation vésicale;N402;5,94;36,37
Lavage de la vessie sur sonde à demeure en place et/ou enlèvement de la sonde à demeure;N403;1,81;11,08
Changement ou vidange de matériel de stomie de l'appareil urinaire;N404;3,05;18,68
Mise en place d'un étui pénien auto-adhésif pour incontinence, maximum 3 séances par semaine;N405;3,08;18,86
Section 5 - Actes concernant l'appareil digestif
Mise en place ou changement d'une sonde gastrique;N501;3,93;24,06
Changement ou vidange de matériel de stomie de l'appareil digestif;N502;3,05;18,68
Lavement évacuateur pour constipation neurogène ou mégacôlon, maximum 2 séances par semaine;N503;3,82;23,39
Evacuation manuelle pour fécalome y compris lavement, maximum une fois par semaine;N504;6,36;38,94
Lavement évacuateur pour préparation à un examen du rectum, lavement médicamenteux non laxatif;N505;3,82;23,39
Branchement, débranchement et surveillance d'une nutrition entérale (forfait journalier);N506;3,82;23,39
Section 6 – Lavage vaginal
Lavage vaginal avec solution médicamenteuse en cas de pathologie infectieuse ou post-radique;N601;2,55;15,61
Section 7 – Actes concernant les voies respiratoires
Traitement par aérosols, par séance;N701;3,82;23,39
Aspiration pour encombrement trachéo-bronchique chez le patient trachéotomisé;N702;2,55;15,61
Expectoration dirigée;N703;2,55;15,61
Oxygénothérapie: branchement, débranchement et surveillance (forfait par jour);N704;3,82;23,39
Section 8 – Actes infirmiers dans le cadre de l'assurance dépendance
Forfait journalier d'actes infirmiers prestés dans les maisons de soins;N801;1,92;11,76
Forfait journalier d'actes infirmiers prestés dans les autres établissements d'aides et de soins;N802;0,96;5,88
Forfait journalier d'actes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux généralistes, indemnité de déplacement incluse;N803;2,20;13,47
Forfait journalier d'actes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux et les établissements relevant du secteur handicap, indemnité de déplacement incluse;N804;0,60;3,67
Section 9 – Mesures de paramètres en cas de surveillance médicale accrue temporaire
Forfait de 1-2 passages par jour;N901;1,27;7,78
Forfait de 3-4 passages par jour;N902;2,55;15,61
Forfait pour un minimum de 5 passages par jour;N903;3,82;23,39
Section 10 – Mesures de décontamination
Forfait unique pour procédure de décontamination pour patient atteint de gale (y compris masques, surblouses, surchaussures et gants);ND01;20,00;122,47
Forfait déplacement;NF01;1,11;6,80
