Section 1 - Prélèvements et analyses
Prélèvement pour analyse microbiologique;N101;2.55;19.34
Prélèvement et examen qualitatif des urines mi-jet par bandelette, avec enregistrement des résultats;N102;2.55;19.34
Prélèvement de selles pour analyses;N103;2.55;19.34
Prélèvement de sang capillaire pour analyse autre que la glycémie;N104;1.3;9.86
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre;N105;1.55;11.76
Prélèvement de sang veineux pour analyse effectuée au domicile de la personne protégée, en cas de nécessité médicale deffectuer le prélèvement au domicile certifiée sur l'ordonnance du médecin prescripteur;N106;2.56;19.42
Bilan hydrique des entrées et sorties;N107;3.82;28.97
Section 2 - Injections, perfusions, prises de sang			0
Injection par dispositif implanté;N201;3.07;23.28
Perfusion par dispositif implanté;N202;5.5;41.71
Injection intraveineuse par ponction;N203;3.86;29.28
Injection intraveineuse sur cathéter en place;N204;2.55;19.34
Mise en place dune perfusion intraveineuse ou sous-cutanée (hypodermoclyse) par gravité ou par pompe;N205;5.27;39.97
Enlèvement dune perfusion intraveineuse ou sous-cutanée;N206;1.29;9.78
Changement du flacon dune perfusion;N207;2.55;19.34
Contrôle dune perfusion de longue durée par pompe, forfait par jour;N208;3.82;28.97
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre et injection sous-cutanée;N209;2.8;21.24
Injection sous-cutanée;N210;1.27;9.63
Injection intramusculaire ou intradermique;N211;1.82;13.8
Application de collyre ou de pommade ophtalmique à domicile, forfait par jour, en phase préopératoire en vue dune intervention relevant du domaine de la spécialité ophtalmologique et/ou en phase postopératoire pour une durée maximale de 15 jours pour une personne incapable de réaliser le geste de façon autonome;N212;2.55;19.34
Section 3 - Pansements			0
Ablation de fils de suture ou dagrafes ou redon, nettoyage et pansement avec soins de plaie simple;N301;3.94;29.88
Pansement pour plaies simples;N302;2.67;20.25
Pansement dun doigt, d'un orteil, dune main, dun pied, avec bain médicamenteux préalable;N303;5.22;39.59
Pansement pour plaies avec dispositifs;N304;5.23;39.67
Pansement pour plaies multiples;N305;5.27;39.97
Détersion, débridement mécanique et pansement dune plaie nécrotique, dune lésion ulcérée ou dune brûlure étendue;N306;7.81;59.23
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë dun membre;N307;1.27;9.63
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë de deux membres;N308;2.55;19.34
Bain entier médicamenteux pour affection cutanée étendue;N309;5.09;38.6
Section 4 - Actes concernant l'appareil urinaire			0
Cathétérisme vésical, mise en place ou changement dune sonde à demeure;N401;4.67;35.42
Cathétérisme vésical avec lavage de la vessie ou irrigation vésicale;N402;5.94;45.05
Lavage de la vessie sur sonde à demeure en place et/ou enlèvement de la sonde à demeure;N403;1.81;13.73
Changement ou vidange de matériel de stomie de lappareil urinaire;N404;3.05;23.13
Mise en place dun étui pénien auto-adhésif pour incontinence, maximum 3 séances par semaine;N405;3.08;23.36
Section 5 - Actes concernant l'appareil digestif			0
Mise en place ou changement dune sonde gastrique;N501;3.93;29.81
Changement ou vidange de matériel de stomie de lappareil digestif;N502;3.05;23.13
Lavement évacuateur pour constipation neurogène ou mégacôlon, maximum 2 séances par semaine;N503;3.82;28.97
Evacuation manuelle pour fécalome y compris lavement, maximum une fois par semaine;N504;6.36;48.24
Lavement évacuateur pour préparation à un examen du rectum, lavement médicamenteux non laxatif;N505;3.82;28.97
Branchement, débranchement et surveillance dune nutrition entérale (forfait journalier);N506;3.82;28.97
Section 6 - Lavage vaginal			0
Lavage vaginal avec solution médicamenteuse en cas de pathologie infectieuse ou post-radique;N601;2.55;19.34
Section 7 - Actes concernant les voies respiratoires			0
Traitement par aérosols, par séance;N701;3.82;28.97
Aspiration pour encombrement trachéo-bronchique chez le patient trachéotomisé;N702;2.55;19.34
Expectoration dirigée;N703;2.55;19.34
Oxygénothérapie: branchement, débranchement et surveillance (forfait par jour);N704;3.82;28.97
Section 8 - Actes infirmiers dans le cadre de l'assurance dépendance			0
Forfait journalier dactes infirmiers prestés dans les maisons de soins;N801;1.92;14.56
Forfait journalier dactes infirmiers prestés dans les autres établissements daides et de soins;N802;0.96;7.28
Forfait journalier dactes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux généralistes, indemnité de déplacement incluse;N803;2.2;16.69
Forfait journalier dactes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux et les établissements relevant du secteur handicap, indemnité de déplacement incluse;N804;0.6;4.55
Tarifs spéciaux : Forfait journalier pour mesures de surveillance médicale accrue temporaire dans le cadre de l’épidémie COVID-19 pour des patients symptomatiques avec signes cliniques de gravité dans les établissements d’aides et de soins;N845;28;212.36
Section 9 - Mesures de paramètres en cas de surveillance médicale accrue temporaire			0
Forfait de 1-2 passages par jour;N901;1.27;9.63
Forfait de 3-4 passages par jour;N902;2.55;19.34
Forfait pour un minimum de 5 passages par jour;N903;3.82;28.97
Section 10 - Mesures de décontamination			0
Forfait unique pour procédure de décontamination pour patient atteint de gale (y compris masques, surblouses, surchaussures et gants);ND01;20;151.68
Forfait déplacement;NF01;1.11;8.42
